REACTION,STANDARD [kJ/mol],UNCERTAINTY [kJ/mol],TRANSFORMED [kJ/mol],MIN TRANSFORMED [kJ/mol],MAX TRANSFORMED [kJ/mol]
DOCO13EFATP,-22.73,2.76,-12.58,-107.05,81.89
DOCOSACT,-22.73,2.76,-15.47,-109.94,79.0
DOCOSACTDe,0.0,0.0,2.89,-26.8,32.58
DOCOSACTDr,0.0,0.0,0.0,-29.69,29.69
DOCOSADIACTD,0.0,0.0,0.0,-29.69,29.69
DOCOSCOAtxc,11.33,4.76,-33.81,-144.07,23.01
DOCOSDIACTD,0.0,0.0,-5.79,-35.47,23.9
FAOXC101C102m,50.5,5.43,47.91,-22.11,117.93
FAOXC101C102x,-60.73,7.2,-60.73,-134.22,12.76
FAOXC101C8m,17.67,6.0,-32.43,-133.25,68.4
FAOXC101C8x,17.67,6.0,-26.81,-127.63,74.02
FAOXC101m,0.0,0.0,0.0,-29.69,29.69
FAOXC101x,0.0,0.0,0.0,-29.69,29.69
FAOXC102C101m,-118.13,5.51,-64.71,-134.89,5.47
FAOXC102C101x,-118.13,5.51,-70.66,-140.84,-0.47
FAOXC10C10OHm,39.15,5.01,36.56,-32.63,105.75
FAOXC10C8m,68.17,7.24,15.48,-117.47,148.43
FAOXC10C8x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC11C9m,68.17,7.24,15.48,-117.47,148.43
FAOXC121C10x,17.67,6.0,-26.81,-127.63,74.02
FAOXC121x,0.0,0.0,0.0,-29.69,29.69
FAOXC122C101m,17.67,6.0,-32.43,-133.25,68.4
FAOXC122m,-0.0,0.0,-0.0,-29.69,29.69
FAOXC122x,-0.0,0.0,-0.0,-29.69,29.69
FAOXC12C10m,68.17,7.24,15.48,-117.47,148.43
FAOXC12C10x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC12C12OHm,39.15,5.01,36.56,-32.63,105.75
FAOXC12DCTc,0.0,0.0,1.19,-28.5,30.88
FAOXC13C11m,68.17,7.24,15.48,-117.47,148.43
FAOXC142C122m,68.17,7.24,15.48,-117.47,148.43
FAOXC142C122x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC14C12m,68.17,7.24,15.48,-117.47,148.43
FAOXC14C12x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC14C14OHm,39.15,5.01,36.56,-32.63,105.75
FAOXC15ATPx,-22.73,2.76,-16.18,-110.64,78.29
FAOXC15NADPx,66.0,12.96,-24.54,-150.87,48.36
FAOXC15NADx,62.57,12.95,-25.01,-151.34,47.87
FAOXC16BRx,-22.73,2.76,-16.17,-110.64,78.29
FAOXC16C14m,72.6,7.82,19.91,-114.18,154.0
FAOXC16C14x,-38.63,9.14,-83.11,-219.78,53.56
FAOXC16C16OHm,43.58,5.7,40.99,-29.56,111.54
FAOXC16OHC16r,-424.58,12.68,-375.92,-448.27,-250.13
FAOXC18C18OHm,39.15,5.01,36.56,-32.63,105.75
FAOXC201C181x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC221C201x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC22C20x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC22C22DCHYr,-1424.85,17.82,-1324.57,-1442.63,-1046.18
FAOXC241C221x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC24C22x,-43.06,8.65,-87.54,-223.25,48.17
FAOXC3DC,-6.57,6.1,-0.71,-72.06,70.63
FAOXC4C2m,65.3,7.54,12.61,-120.92,146.14
FAOXC5C3x,73.35,8.59,20.66,-114.93,156.24
FAOXC5C5DCc,4.31,5.78,54.4,-16.31,125.12
FAOXC5C5OHm,-5.28,3.83,-5.28,-42.48,31.93
FAOXC61C4m,28.26,6.24,-21.84,-123.13,79.45
FAOXC61C4x,28.26,6.24,-16.22,-117.51,85.07
FAOXC61m,-10.59,3.63,-10.59,-47.4,26.23
FAOXC61x,-10.59,3.63,-10.59,-47.4,26.23
FAOXC6DCC4DCx,-39.48,9.62,-83.96,-221.57,53.65
FAOXC7C5m,68.17,7.24,15.48,-117.47,148.43
FAOXC9BRC7BRm,68.17,7.24,110.49,-22.46,243.44
FAOXC9C7m,68.17,7.24,15.48,-117.47,148.43
FAOXOHC16C16DCc,107.63,9.76,13.25,-94.95,121.45
FAOXTC142TC122m,68.17,7.24,15.48,-117.47,148.43
FOAXC122C101x,17.67,6.0,-26.81,-127.63,74.02
GLUTCOAACBP,0.0,0.0,-74.78,-104.47,-45.09
HDCACBP,0.0,0.0,-59.83,-89.52,-30.14
HDDACBP,0.0,0.0,-59.83,-89.52,-30.14
HDECAACBP,0.0,0.0,-59.83,-89.52,-30.14
HDECEACBP,0.0,0.0,-59.82,-89.51,-30.13
HEDCECRNe,0.0,0.0,0.0,-29.69,29.69
HEXCOAACBP,0.0,0.0,-59.82,-89.51,-30.13
HEXDCRNe,0.0,0.0,0.0,-29.69,29.69
HEXDIACtr,0.0,0.0,0.0,-29.69,29.69
HEXDICOAACBP,0.0,0.0,0.0,-29.69,29.69
HEXDICOAACBPx,0.0,0.0,-5.94,-35.63,23.75
HIVCACBP,0.0,0.0,-59.83,-89.52,-30.14
HIVCRNe,0.0,0.0,-0.0,-29.69,29.69
HOCDACBP,0.0,0.0,-59.83,-89.52,-30.14
HOCTDACBP,0.0,0.0,-59.82,-89.51,-30.13
HOCTDEC2CRNe,0.0,0.0,0.0,-29.69,29.69
HOCTDECCRNe,0.0,0.0,-0.0,-29.69,29.69
HTDCACBP,0.0,0.0,-59.83,-89.52,-30.14
HTDCRNe,0.0,0.0,0.0,-29.69,29.69
IVCOAACBP,0.0,0.0,-59.83,-89.52,-30.14
IVCRNe,0.0,0.0,0.0,-29.69,29.69
LGNCCOAtcx,11.33,4.76,-33.81,-144.07,23.01
NRVNCCOAtxc,11.33,4.76,-33.81,-144.07,23.01
OCD11CRNCACT,0.0,0.0,0.0,-29.69,29.69
OCTDEC2ACBP,0.0,0.0,-59.82,-89.51,-30.13
OCTDECCACT,0.0,0.0,0.0,-29.69,29.69
OCTDECE1CRNe,0.0,0.0,0.0,-29.69,29.69
OMHDEACIDTD,0.0,0.0,0.0,-29.69,29.69
OMHDOCOSACTD,0.0,0.0,0.0,-29.69,29.69
OMHPALTD,0.0,0.0,-42.75,-72.44,-13.06
PRISTCOAtcx,11.33,4.76,-33.81,-144.07,23.01
SCP21cx,11.33,4.76,-33.81,-144.07,23.01
SEBACIDtx,0.0,0.0,2.38,-27.31,32.07
STCOATxc,11.33,4.76,-33.81,-144.07,23.01
STRDNCCOAtxc,11.33,4.76,-33.81,-144.07,23.01
SUBEACtx,0.0,0.0,2.38,-27.31,32.07
SUBERCACT,0.0,0.0,1.19,-28.5,30.88
SUCCACT,-17.96,2.21,-15.11,-108.52,78.29
SUCCOAPET,13.98,5.21,-24.71,-106.18,3.31
SUCCTD,0.0,0.0,2.39,-27.3,32.08
TDCRNe,0.0,0.0,0.0,-29.69,29.69
TETDEC2CRNe,0.0,0.0,0.0,-29.69,29.69
TETDECE1CRNe,0.0,0.0,0.0,-29.69,29.69
TIGCRNe,0.0,0.0,0.0,-29.69,29.69
34DHPHELAT1tc,0.0,0.0,0.02,-59.35,59.4
4OHPROIMINOtc,0.0,0.0,-3.11,-121.87,115.64
ALAALACNc,-4.43,6.99,-4.2,-89.15,27.32
ALAALAPEPT1tc,0.0,0.0,-1.56,-31.25,28.13
ALAATB0tc,0.0,0.0,-3.1,-121.85,115.66
ALAyLATthc,0.0,0.0,1.18,-58.19,60.56
ARGATB0tc,0.0,0.0,-5.99,-124.74,112.76
ASCBSVCTtc,11.33,4.76,-32.16,-201.8,84.04
ASNATB0tc,0.0,0.0,-2.97,-121.73,115.78
ASNPHELAT2tc,0.0,0.0,0.12,-59.25,59.5
BALABETAtc,0.0,0.0,-3.11,-121.87,115.64
BALAPAT1tc,0.0,0.0,-1.71,-31.39,27.98
BTNTe,0.0,0.0,-2.89,-32.58,26.8
CARPEPT1tc,0.0,0.0,-1.86,-31.55,27.83
CARhPTtc,0.0,0.0,5.92,-23.77,35.61
CBLTDe,0.0,0.0,-0.0,-29.69,29.69
CBLtle,0.0,0.0,0.0,-29.69,29.69
CHOLESTTDe,0.0,0.0,0.0,-29.69,29.69
CYSATB0tc,0.0,0.0,-3.08,-121.83,115.68
CYSPHELAT2tc,0.0,0.0,0.02,-59.36,59.4
CYSSNAT5tc,0.0,0.0,-1.26,-60.64,58.12
CYSTALArBATtc,0.0,0.0,0.06,-59.31,59.44
CYSTLEUrBATtc,0.0,0.0,0.06,-59.31,59.44
FOLTle,0.0,0.0,1.19,-28.49,30.88
GALSGLT1le,11.33,4.76,-35.06,-204.7,81.14
GLCSGLT1le,11.33,4.76,-35.06,-204.7,81.14
GLNATB0tc,0.0,0.0,-3.09,-121.85,115.66
GLNyLATthc,0.0,0.0,1.19,-58.19,60.57
GLYGLYCNc,0.91,6.47,1.31,-82.63,31.8
GLYGLYPEPT1tc,0.0,0.0,0.24,-29.45,29.93
GLYPHEPEPT1tc,0.0,0.0,-1.46,-31.15,28.22
GLYPROPEPT1tc,0.0,0.0,-1.46,-31.15,28.23
GLYSARCNc,-2.36,18.43,-1.91,-109.29,52.02
GLYSARPEPT1tc,0.0,0.0,-1.46,-31.15,28.23
GLYSNAT5tc,0.0,0.0,-1.27,-60.65,58.1
HISCAT1,0.0,0.0,0.05,-29.63,29.74
HISSNAT5tc,0.0,0.0,-1.35,-60.73,58.03
HIShPTtc,0.0,0.0,-7.85,-37.54,21.84
HISyLATtc,0.0,0.0,-0.18,-89.25,88.88
HISyLATthc,0.0,0.0,1.12,-58.26,60.49
HPETFABP1tc,0.0,0.0,0.0,-59.38,59.38
ILEATB0tc,0.0,0.0,-3.1,-121.86,115.65
ILELAT1tc,0.0,0.0,-0.0,-59.38,59.38
ILEPHELAT2tc,0.0,0.0,-0.0,-59.38,59.37
LEUATB0tc,0.0,0.0,-3.1,-121.86,115.65
LEUGLYPEPT1tc,0.0,0.0,-1.57,-31.26,28.12
LEULEULAPc,-9.49,11.08,-9.28,-102.24,30.24
LEULEUPEPT1tc,0.0,0.0,-1.57,-31.26,28.12
LEUPHELAT2tc,0.0,0.0,-0.0,-59.38,59.38
LEUyLAThtc,0.0,0.0,1.18,-58.2,60.56
LINOFATPtc,-33.59,3.65,-23.44,-119.66,72.79
LYSATB0tc,0.0,0.0,-6.0,-124.75,112.76
METATB0tc,0.0,0.0,-3.1,-121.85,115.65
METyLATthc,0.0,0.0,1.18,-58.19,60.56
MTHFTe,0.0,0.0,-2.89,-32.58,26.79
NACDe,0.0,0.0,-2.89,-32.58,26.79
NACHORCTL3le,0.0,0.0,1.19,-28.5,30.88
NCAMDe,0.0,0.0,0.0,-29.69,29.69
OCDEAFABP1tc,0.0,0.0,0.0,-59.38,59.38
OLEICFATPtc,-22.73,2.76,-12.58,-107.05,81.89
ORNALArBATtc,-0.0,0.0,-2.9,-62.28,56.48
ORNLEUrBATtc,-0.0,0.0,-2.9,-62.28,56.48
PALFATPtc,-13.63,12.41,-3.47,-116.86,109.92
PCHOLHSTDe,0.0,0.0,0.0,-29.69,29.69
PEHSFABPe,0.0,0.0,0.0,-59.38,59.38
PHEATB0tc,0.0,0.0,-3.1,-121.85,115.66
PHEyLATthc,0.0,0.0,1.18,-58.19,60.56
PMTCOAFABP1tc,0.0,0.0,0.0,-59.38,59.38
PNTORDe,0.0,0.0,-2.89,-32.58,26.79
PROGLYPEPT1tc,0.0,0.0,-1.7,-31.39,27.99
PROGLYPRO1c,3.6,10.46,3.57,-88.19,41.89
PROIMINOtc,0.0,0.0,-3.11,-121.87,115.64
SBTle,0.0,0.0,0.0,-29.69,29.69
SERATB0tc,0.0,0.0,-3.07,-121.82,115.69
TAGHSTDe,0.0,0.0,0.0,-29.69,29.69
TAUBETAtc,0.0,0.0,-3.09,-121.85,115.66
TAUPAT1c,0.0,0.0,-1.69,-31.38,28.0
THMATPe,11.33,4.76,-26.12,-136.38,30.7
THRATB0tc,0.0,0.0,-3.07,-121.83,115.68
THRPHELAT2tc,0.0,0.0,0.03,-59.35,59.4
TRPATB0tc,0.0,0.0,-3.1,-121.85,115.66
TYRATB0tc,0.0,0.0,-3.09,-121.84,115.67
TYRPHELAT2tc,0.0,0.0,0.01,-59.36,59.39
VALATB0tc,0.0,0.0,-3.1,-121.86,115.65
VALLAT1tc,0.0,0.0,-0.0,-59.38,59.38
VALPHELAT2tc,0.0,0.0,-0.0,-59.38,59.37
VITEtl,11.33,4.76,-29.05,-139.31,27.77
VITKtl,0.0,0.0,0.0,-29.69,29.69
XOLEST2HSTDle,0.0,0.0,0.0,-29.69,29.69
1a25DHVITD3TRn,0.0,0.0,0.0,-29.69,29.69
25HVITD3c,-451.98,7.18,-403.32,-464.9,-288.29
3AIB_Dtm,0.0,0.0,-0.02,-29.71,29.67
3HCO3_NAt,0.0,0.0,5.57,-113.18,124.33
4ABUTtcn,0.0,0.0,0.0,-29.69,29.69
4HPROLTASCT1,0.0,0.0,-2.99,-92.06,86.08
5MTHFt2le,0.0,0.0,-0.0,-59.38,59.38
ADNK3,28.45,5.61,-11.55,-81.92,58.82
ADNK4,25.38,6.74,-14.62,-87.21,57.98
ADNt5le,0.0,0.0,-6.01,-95.08,83.05
AHCYStd,0.0,0.0,0.1,-29.58,29.79
ALA-DTDe,0.0,0.0,-0.01,-29.7,29.67
AMETtd,0.0,0.0,-15.01,-44.7,14.67
ARACHFATPc,-22.73,2.76,-12.58,-107.05,81.89
ASPDTDe,0.0,0.0,-2.91,-32.6,26.78
ASPPROASCT1,0.0,0.0,-0.1,-89.16,88.97
ASPte,0.0,0.0,-2.91,-32.6,26.78
BIDGLCURr,-21.51,5.32,-31.01,-100.82,38.79
BTNt3ile,11.33,4.76,-32.17,-201.81,84.03
CHSTEROLtrc,0.0,0.0,0.0,-29.69,29.69
CRNrtx,0.0,0.0,-0.0,-29.69,29.69
CYTDt5le,0.0,0.0,-6.01,-95.07,83.06
Coqe,0.0,0.0,-0.0,-29.69,29.69
DATPtm,0.0,0.0,55.26,25.58,84.95
DCTPtm,0.0,0.0,55.26,25.58,84.95
DGTPtm,0.0,0.0,54.84,25.16,84.53
DHAPtc,0.0,0.0,-29.98,-59.67,-0.29
DPCOAPPe,75.94,13.51,-16.64,-114.38,27.65
DPMVDc,-43.54,6.89,-34.73,-190.74,14.4
DSREDUCr,-105.53,5.98,-56.86,-127.96,14.24
DTMPKm,2.82,4.73,-3.95,-72.6,64.69
DTTPtm,0.0,0.0,54.64,24.95,84.33
FADDPle,57.73,12.05,-40.81,-135.68,0.62
FADH2ETC,-106.87,13.09,-104.3,-189.33,-19.27
FADtm,0.0,0.0,30.28,0.59,59.97
FE2DMT1,0.0,0.0,-7.4,-37.09,22.29
FE3MTP1,0.0,0.0,8.75,-20.94,38.44
FMNALKPle,-31.65,3.59,-26.29,-104.57,-1.44
FOLt2le,0.0,0.0,0.01,-59.37,59.38
FRDPtcr,0.0,0.0,0.0,-29.69,29.69
G6PDH2c,127.61,15.57,-18.44,-227.08,190.2
GLCGLUT2,0.0,0.0,-0.0,-29.69,29.69
GLU5SAtmc,0.0,0.0,0.28,-29.41,29.97
GLUPROASCT1,0.0,0.0,-0.09,-89.16,88.98
GLY3Pt,0.0,0.0,2.47,-27.22,32.16
GLYC3PFADm,4.43,4.95,1.85,-67.22,70.93
GLYC3Ptmc,0.0,0.0,-30.05,-59.74,-0.36
GLYCTDle,0.0,0.0,0.0,-29.69,29.69
GNDc,36.41,15.45,31.87,-301.25,204.66
GSNt5le,0.0,0.0,-6.0,-95.07,83.06
HMGCOARc,-95.74,9.98,7.45,-142.75,104.2
INSK,17.82,5.61,-22.48,-92.85,47.9
INSt5le,0.0,0.0,-6.01,-95.07,83.06
IPDDI,-4.9,4.73,-4.9,-43.86,34.06
KHte,0.0,0.0,-1.3,-30.99,28.39
LACLt,0.0,0.0,1.19,-28.5,30.88
LAPCOAe,-34.45,4.76,-28.73,-109.3,-1.59
LEUGLYHYc,-12.93,7.32,-12.73,-98.33,19.43
MAL_Ltx,0.0,0.0,2.38,-27.31,32.07
MDHx,72.77,4.76,28.26,-40.44,96.96
MEVK1c,25.15,6.18,-17.96,-89.45,53.53
MTHFR3,-126.57,11.63,-32.19,-114.35,49.98
NADtm,0.0,0.0,14.96,-14.73,44.65
NADtx,0.0,0.0,-1.19,-30.88,28.5
NODe,0.0,0.0,0.0,-29.69,29.69
OCDCAFATPc,-22.73,2.76,-12.58,-107.05,81.89
P5CR,-138.24,10.58,-45.23,-125.34,34.88
PAN4PPe,-15.57,2.45,-15.62,-91.68,7.01
PGLc,67.62,16.31,-73.99,-195.02,47.04
PHEMEe,0.0,0.0,-5.79,-35.48,23.9
PMEVKc,6.65,3.34,2.64,-63.29,68.57
PNTEHe,-24.77,8.07,-26.27,-113.34,7.36
PNTOt5le,11.33,4.76,-32.17,-201.81,84.03
PPItm,0.0,0.0,41.59,11.9,71.28
PRO_Dtde,0.0,0.0,-0.0,-29.69,29.69
PTCRTD,0.0,0.0,-5.79,-35.48,23.9
PTPATe,-79.92,10.78,-25.04,-105.55,55.47
Q10H2e,0.0,0.0,-0.0,-29.69,29.69
RPEc,-7.15,3.72,-7.15,-73.82,59.53
SBT_Dtde,0.0,0.0,-0.0,-29.69,29.69
SFCYSe,0.0,0.0,-5.34,-35.03,24.35
SPMTDe,0.0,0.0,-8.66,-38.34,21.03
SPRMTDe,0.0,0.0,-11.55,-41.24,18.14
TAURCHAe,0.0,0.0,-0.02,-29.71,29.67
THMDt5le,0.0,0.0,-6.0,-95.07,83.06
TTDCAFATPc,-22.73,2.76,-12.58,-107.05,81.89
URIt5le,0.0,0.0,-6.0,-95.07,83.07
q10h2tc,0.0,0.0,0.02,-29.67,29.71
q10tm,0.0,0.0,0.0,-29.69,29.69
34HPPte,0.0,0.0,2.92,-26.77,32.61
3MOBte,0.0,0.0,2.89,-26.79,32.58
3MOPte,0.0,0.0,2.89,-26.79,32.58
4HPRO_LTte,0.0,0.0,-0.01,-29.7,29.68
4MOPte,0.0,0.0,2.89,-26.79,32.58
5MTAte,0.0,0.0,-0.01,-29.69,29.68
5OXPROt,0.0,0.0,-3.11,-92.18,85.95
AHCYSte,0.0,0.0,0.01,-29.68,29.7
AICARte,0.0,0.0,5.75,-23.93,35.44
ANTHte,0.0,0.0,2.89,-26.8,32.58
CBASPte,0.0,0.0,5.79,-23.9,35.47
MAL_Lte,0.0,0.0,5.79,-23.9,35.48
OROTGLUt,0.0,0.0,-0.01,-59.38,59.37
PNTOte,0.0,0.0,2.89,-26.79,32.58
IDOURte,0.0,0.0,2.89,-26.79,32.58
5HOXINDOAtr,-0.0,0.0,-357.28,-416.66,-297.91
GLYALDtr,0.0,0.0,-266.64,-326.02,-207.26
PEPtr,0.0,0.0,90.75,31.37,150.13
GUDACtr,0.0,0.0,-310.69,-429.44,-191.93
GUDACtr2,0.0,0.0,-307.58,-337.26,-277.89
LKYNRtr,0.0,0.0,-527.23,-556.92,-497.54
LKYNRtr2,0.0,0.0,-527.24,-586.62,-467.86
LKYNRtr3,0.0,0.0,-527.24,-586.62,-467.86
BALAPAT1tc2,0.0,0.0,-310.69,-429.44,-191.93
BALABETAtc2,0.0,0.0,-309.28,-338.97,-279.59
CALAtr,0.0,0.0,-307.58,-337.26,-277.89
CRTNtr,0.0,0.0,-307.58,-337.26,-277.89
KYNATEtr,0.0,0.0,-269.42,-328.8,-210.05
KYNATEtr2,0.0,0.0,-263.63,-293.32,-233.94
CITRtr,0.0,0.0,0.02,-29.66,29.71
3ANTHRNtr,0.0,0.0,-307.58,-337.27,-277.89
THYMDtr2,0.0,0.0,-0.0,-29.69,29.68
HKYNRtr,0.0,0.0,-527.24,-586.61,-467.86
QULNtr,0.0,0.0,-137.61,-196.99,-78.23
2PGtr,0.0,0.0,-175.77,-205.46,-146.08
CARNtr,0.0,0.0,-0.15,-29.84,29.54
CHOLPtr,0.0,0.0,-571.26,-600.95,-541.57
CYST_Ltr,0.0,0.0,-615.11,-644.8,-585.42
DCMPtr,0.0,0.0,-527.31,-556.99,-497.62
DHAPtr,0.0,0.0,5.76,-23.93,35.45
DMGLYtr,0.0,0.0,-395.45,-425.13,-365.76
ETHAMPtr,0.0,0.0,-307.68,-337.37,-277.99
FUMtr,0.0,0.0,-87.88,-117.57,-58.19
G3PCtr,0.0,0.0,-878.79,-908.48,-849.1
GLCURtr,0.0,0.0,2.89,-26.79,32.58
ICITtr,0.0,0.0,-219.7,-249.39,-190.01
L2AADPtr,0.0,0.0,-439.37,-469.06,-409.68
XANtr,0.0,0.0,-175.75,-205.44,-146.06
XMPtr,0.0,0.0,-483.25,-512.94,-453.56
XTSNtr,0.0,0.0,-527.23,-556.92,-497.54
3PGtr,0.0,0.0,-175.79,-205.48,-146.1
UDPGLCURtr,0.0,0.0,-834.8,-864.49,-805.11
IMPtr,0.0,0.0,5.9,-23.79,35.58
GLYC3tr,0.0,0.0,-307.64,-337.33,-277.95
NICRNtr,0.0,0.0,-527.3,-556.99,-497.62
OROT5Ptr,0.0,0.0,-439.37,-469.06,-409.68
ALAB0AT3tc,0.0,0.0,-0.1,-89.16,88.97
ALAPAT4te,0.0,0.0,0.01,-29.67,29.7
ARACHDFATPtc,-23.83,3.77,-13.67,-110.12,82.77
ARGB0AT3tc,0.0,0.0,-2.99,-92.05,86.08
ASNB0AT3tc,0.0,0.0,0.03,-89.04,89.1
BETBGTtc,0.0,0.0,-0.11,-89.18,88.96
BUTSMCT1,0.0,0.0,-0.11,-59.49,59.27
CLCFTRte,0.0,0.0,-2.89,-32.58,26.79
CRNATBtc,0.0,0.0,-3.11,-121.87,115.64
CRNCT2te,0.0,0.0,3.0,-56.37,62.38
CYSB0AT3tc,0.0,0.0,-0.07,-89.14,88.99
DHEASABCCte,11.33,4.76,-31.95,-142.21,24.88
DOPAENT4tc,0.0,0.0,-4.59,-34.28,25.1
ESTRAABCtc,11.33,4.76,-29.05,-139.31,27.77
ESTROSABCCte,11.33,4.76,-31.95,-142.21,24.88
ESTRSABCtc,11.33,4.76,-26.16,-136.42,30.67
FOLABCCte,11.33,4.76,-31.95,-142.22,24.87
FOLOAT1tc,0.0,0.0,-5.89,-94.96,83.18
FOLOAT2tc,0.0,0.0,-2.89,-62.26,56.49
FOLOATPtc,0.0,0.0,0.04,-59.34,59.42
GABABGTtc,0.0,0.0,-0.11,-89.18,88.96
GLNB0AT3tc,0.0,0.0,-0.09,-89.16,88.98
GLUB0AT3tc,0.0,0.0,2.81,-86.26,91.87
GLYB0AT3tc,0.0,0.0,-0.09,-89.15,88.98
GSNt2r,0.0,0.0,-1.7,-31.39,27.98
H2OGLYAQPt,0.0,0.0,0.0,-29.69,29.69
ILEB0AT3tc,0.0,0.0,-0.1,-89.16,88.97
LEUB0AT3tc,0.0,0.0,-0.1,-89.16,88.97
LEUKABCtc,11.33,4.76,-23.2,-133.46,33.62
LGNCFATPtc,-22.73,2.76,-12.58,-107.05,81.89
METB0AT3tc,0.0,0.0,-0.1,-89.16,88.97
NACSMCTte,0.0,0.0,-0.11,-59.49,59.27
PGLYCABCte,11.33,4.76,-31.95,-142.21,24.88
PHEB0AT3tc,0.0,0.0,-0.09,-89.16,88.97
PHEMEABCte,11.33,4.76,-34.84,-145.1,21.98
PPASMCT1,0.0,0.0,-0.11,-59.49,59.27
PROPAT4te,0.0,0.0,0.0,-29.69,29.69
PSHSABCtc,11.33,4.76,-31.95,-142.21,24.88
PYRSMCT1,0.0,0.0,-0.11,-59.49,59.27
RETABCtc,11.33,4.76,-1259.35,-1369.61,-1202.53
SERB0AT3tc,0.0,0.0,-0.06,-89.13,89.0
SRTNENT4tc,0.0,0.0,-4.59,-34.28,25.1
TCHOLABCtc,11.33,4.76,-29.05,-139.31,27.77
TRPB0AT3tc,0.0,0.0,-0.09,-89.16,88.97
TYRB0AT3tc,0.0,0.0,-0.08,-89.15,88.98
VALB0AT3tc,0.0,0.0,-0.1,-89.17,88.97
CAMPt,11.33,4.76,-31.94,-142.21,24.88
CGMPt,11.33,4.76,-31.95,-142.21,24.87
FRUt4,0.0,0.0,-3.0,-62.38,56.38
GALt4,0.0,0.0,-3.0,-62.38,56.37
GCHOLAt3,11.33,4.76,-29.05,-139.31,27.77
GLCt4,0.0,0.0,-3.0,-62.38,56.37
MANt4,0.0,0.0,-3.0,-62.38,56.37
PHEMEt,0.0,0.0,5.79,-23.9,35.48
RIBFLVte,11.33,4.76,-28.67,-138.93,28.15
TCHOLAt3,11.33,4.76,-29.05,-139.31,27.77
TRPt,0.0,0.0,0.02,-29.67,29.71
VITD3t2,0.0,0.0,-0.0,-29.69,29.69
r1492,0.0,0.0,3.0,-26.68,32.69
CHSTEROLt,11.33,4.76,-29.05,-139.31,27.77
RETt,0.0,0.0,-0.0,-29.69,29.69
25HVITD3tin,0.0,0.0,0.0,-29.69,29.69
AVITE1t,0.0,0.0,0.0,-29.69,29.69
r0963,0.0,0.0,2.9,-26.79,32.59
L_LACt4r,0.0,0.0,-0.11,-59.49,59.27
r0295,-27.46,7.66,-24.42,-116.62,121.22
ARGSUCte,0.0,0.0,746.92,717.23,776.61
ACRNte,0.0,0.0,749.97,690.6,809.35
PCRNte,0.0,0.0,837.85,778.47,897.23
LNELDCCRNte,0.0,0.0,1980.27,1920.9,2039.65
ODECRNte,0.0,0.0,-31.8,-91.17,27.58
STCRNte,0.0,0.0,2156.03,2096.65,2215.41
PMTCRNte,0.0,0.0,1980.27,1920.9,2039.65
HDCECRNte,0.0,0.0,1892.4,1833.02,1951.77
PCREATte,0.0,0.0,395.47,365.78,425.16
HC00342te,0.0,0.0,140.83,22.08,259.59
OCTAte,0.0,0.0,-2.89,-32.58,26.8
C08261te,0.0,0.0,615.15,585.46,644.84
BGLYte,0.0,0.0,351.51,321.83,381.2
C14825c,-490.34,9.1,-441.67,-507.02,-322.88
HDCAc,9.65,13.27,-34.66,-131.92,9.17
3MTPte,0.0,0.0,0.0,-29.69,29.69
ELAIDCRNte,0.0,0.0,3.0,-56.37,62.38
LNLCCRNNAt,0.0,0.0,3.0,-56.37,62.38
PHLACHt,0.0,0.0,-1.19,-30.88,28.5
TTDCRNNAt,0.0,0.0,3.0,-56.37,62.38
12HPETATP,11.33,4.76,-29.05,-139.31,27.77
15HPETATP,11.33,4.76,-29.05,-139.31,27.77
15KPROSTGF2t,0.0,0.0,-0.0,-59.38,59.38
21HPRGNLONEt1,11.33,4.76,-29.05,-139.31,27.77
21HPRGNLONEt2,0.0,0.0,0.0,-29.69,29.69
2OXOADPt,0.0,0.0,5.79,-53.59,65.17
34HPLte,0.0,0.0,1.68,-28.0,31.37
3HMPtd,0.0,0.0,0.0,-29.69,29.69
3HPPNOHGLUCte,0.0,0.0,-5.79,-35.48,23.9
3HPPt,0.0,0.0,0.0,-29.69,29.69
3MHISt1,0.0,0.0,3.0,-56.37,62.38
3MHISt2,0.0,0.0,-0.01,-59.39,59.36
3MHISt3,0.0,0.0,-0.01,-59.39,59.36
3MOXTYRt,0.0,0.0,-0.01,-29.69,29.68
3UIBtd,0.0,0.0,0.0,-29.69,29.69
4AABUTNt,0.0,0.0,-0.0,-29.69,29.69
4TMEABUTNt1,0.0,0.0,3.01,-56.37,62.38
4TMEABUTNt2,0.0,0.0,1.71,-27.98,31.4
56DTHMt,0.0,0.0,3.0,-56.37,62.38
56DTHMtd,0.0,0.0,-0.0,-29.69,29.69
56DURAt,0.0,0.0,3.0,-56.37,62.38
56DURAtd,0.0,0.0,-0.0,-29.69,29.69
5AOPt,0.0,0.0,3.01,-26.68,32.7
5HPETATP,11.33,4.76,-29.05,-139.31,27.77
5HPETtd,0.0,0.0,0.0,-29.69,29.69
7DHCHSTEROLt,11.33,4.76,-29.05,-139.31,27.77
